epoch,train_loss,val_loss,lr,elapsed_sec
1,0.668104066298289,2.133950902384962,0.0004840851385068352,4.363723278045654
2,0.7734079806894558,1.5559160553211728,0.0004840851385068352,8.788400173187256
3,0.25350252795835015,0.1216386360437589,0.0002420425692534176,13.941057682037354
4,0.13559850611337318,0.08440592582439231,0.0001210212846267088,19.41160821914673
5,0.11974698198978476,0.040941125058516145,6.05106423133544e-05,24.552257299423218
6,0.10743043331663213,0.04701073172473751,3.02553211566772e-05,29.103662252426147
7,0.10201638887354109,0.03482165596321811,1.51276605783386e-05,33.30999994277954
8,0.09979543257119809,0.026843014815781576,7.5638302891693e-06,37.54897451400757
9,0.09860455814915789,0.02536806802765576,3.78191514458465e-06,42.48696255683899
10,0.09785329178136026,0.024105129190049576,1.890957572292325e-06,47.35585808753967
