epoch,train_loss,val_loss,lr,elapsed_sec
1,0.27060539079491813,0.03973378483653394,0.0008441349127255004,135.15760588645935
2,0.20218958782058957,0.035140006937184186,0.0008441349127255004,272.5850474834442
3,0.1683819428889306,0.033011392509263805,0.0004220674563627502,409.83541440963745
4,0.1388109726172335,0.028241288669277227,0.0002110337281813751,543.0167911052704
5,0.11978376880810061,0.027127966437261047,0.00010551686409068755,676.4245340824127
6,0.10909375798659318,0.026457711987148597,5.2758432045343775e-05,812.3145287036896
7,0.1050550853757744,0.02694356219444473,2.6379216022671887e-05,946.3255867958069
8,0.10254616243604386,0.026276825961766673,1.3189608011335944e-05,1081.8842868804932
9,0.10151961372941312,0.026277916377825117,6.594804005667972e-06,1218.6427087783813
10,0.10040738505358547,0.02624315690192268,3.297402002833986e-06,1350.0775015354156
