epoch,train_loss,val_loss,lr,elapsed_sec
1,0.22744086872915747,0.02990538454878929,0.0008420984236839935,111.34365916252136
2,0.17756374236344988,0.029033090688459023,0.0008420984236839935,222.6934585571289
3,0.1422193741172047,0.021657096949003345,0.00042104921184199674,331.8171184062958
4,0.1279920644311114,0.02134668153423946,0.00021052460592099837,443.10049867630005
5,0.12280169566501335,0.01983779903621246,0.00010526230296049919,553.1545555591583
6,0.11973713694414988,0.019490811004868696,5.263115148024959e-05,661.0046243667603
7,0.11777915305655703,0.01943569991678634,2.6315575740124797e-05,771.4987750053406
8,0.11634772762748936,0.01924878864917156,1.3157787870062398e-05,881.7264559268951
9,0.1149487496791355,0.019164593453116423,6.578893935031199e-06,990.6915056705475
10,0.11218159188867506,0.019141257324715565,3.2894469675155996e-06,1099.3026766777039
