epoch,train_loss,val_loss,lr,elapsed_sec
1,4.138604172154953,0.09562415444174188,0.009483307352588965,157.5335295200348
2,0.32864699970450284,0.0836167551178534,0.009483307352588965,309.76440477371216
3,0.2630930374223102,0.08609795465040546,0.004741653676294482,459.13021087646484
4,0.2278809683361256,0.08482046064200881,0.002370826838147241,614.8499157428741
5,0.20152064734100641,0.06865352907880945,0.0011854134190736206,770.5163695812225
6,0.16784342689790724,0.05770144257775821,0.0005927067095368103,929.433486700058
7,0.15004149294279295,0.05766363935260403,0.00029635335476840515,1087.9491291046143
8,0.13795701947480757,0.0566581646997205,0.00014817667738420258,1244.9096415042877
9,0.13393032112734424,0.05505494127562473,7.408833869210129e-05,1399.2552542686462
10,0.13010138935370413,0.05487011587775951,3.7044169346050644e-05,1559.0584197044373
