epoch,train_loss,val_loss,lr,elapsed_sec
1,0.2024867391494687,0.024807806438563958,0.0010874979064280897,76.811443567276
2,0.17023921195937505,0.027056434867984574,0.0010874979064280897,154.74312329292297
3,0.13557993541430863,0.020123581399979152,0.0005437489532140448,232.00603985786438
4,0.13166320756968292,0.01949024308655087,0.0002718744766070224,308.90997791290283
5,0.12289166790742115,0.019445161000096602,0.0001359372383035112,385.86903381347656
6,0.12163232268418217,0.019123714987148085,6.79686191517556e-05,464.2804160118103
7,0.12036842577688592,0.01942724444822449,3.39843095758778e-05,541.7154016494751
8,0.12078660205519468,0.019063221980088755,1.69921547879389e-05,618.0454413890839
9,0.11843397623442058,0.019071801935079628,8.49607739396945e-06,694.5359919071198
10,0.11948820574498166,0.019042326254851145,4.248038696984725e-06,771.2397036552429
