epoch,train_loss,val_loss,lr,elapsed_sec
1,0.1613822933793469,0.022991874101369277,0.001937372706227852,39.94798135757446
2,0.14909201007696551,0.022829567883973535,0.001937372706227852,80.2358045578003
3,0.13352811932814387,0.021976550526755012,0.000968686353113926,124.30514597892761
4,0.12574368260523422,0.02080151367649112,0.000484343176556963,164.1509554386139
5,0.11986588302723485,0.02027676832943183,0.0002421715882784815,205.18874526023865
6,0.11198601358496142,0.019875976672072127,0.00012108579413924075,247.5193452835083
7,0.10616168731448238,0.02002797073117741,6.054289706962037e-05,286.4275586605072
8,0.10128169163370339,0.01972042017251901,3.0271448534810187e-05,325.7491533756256
9,0.10072013220425756,0.019775577652794512,1.5135724267405093e-05,365.12921690940857
10,0.09899999486027199,0.019733396034849728,7.567862133702547e-06,405.8840878009796
