epoch,train_loss,val_loss,lr,elapsed_sec
1,0.1874607611069915,0.03185173129743856,9.917829340347842e-05,175.18970584869385
2,0.14344931649946338,0.02564426153169378,9.917829340347842e-05,346.3170487880707
3,0.120187814419131,0.02333437410061774,4.958914670173921e-05,516.1414122581482
4,0.0997130609836047,0.022420200409934574,2.4794573350869606e-05,687.4549593925476
5,0.09120357422407563,0.021601654690406893,1.2397286675434803e-05,858.0286383628845
6,0.08676267221211006,0.02216678599462561,6.1986433377174016e-06,1028.0119750499725
7,0.08390353638760382,0.02163483314216137,3.0993216688587008e-06,1199.4779891967773
8,0.08270200852185805,0.021658490610349437,1.5496608344293504e-06,1374.2618033885956
9,0.08318934772188108,0.022152087703833114,7.748304172146752e-07,1544.6564152240753
10,0.0817529058179472,0.021674703753998745,3.874152086073376e-07,1715.751121044159
