epoch,train_loss,val_loss,lr,elapsed_sec
1,0.27985920732095604,0.06549259711170821,0.00021862601902337858,247.03584146499634
2,0.2104426861951173,0.06942430847043814,0.00021862601902337858,494.09978556632996
3,0.14209077662439012,0.06148347070676531,0.00010931300951168929,739.4578008651733
4,0.12076365733350077,0.038740518409352116,5.4656504755844645e-05,984.6335723400116
5,0.1013130852690173,0.03676592131596725,2.7328252377922322e-05,1228.706110715866
6,0.09430773271762101,0.03656715436891437,1.3664126188961161e-05,1472.504885673523
7,0.09003980131586577,0.03539289218906362,6.832063094480581e-06,1718.970935344696
8,0.08735635372680019,0.035325521235171235,3.4160315472402903e-06,1964.8409922122955
9,0.08734835496664504,0.034775338172261895,1.7080157736201452e-06,2211.2851033210754
10,0.08527912869209711,0.03479704411911847,8.540078868100726e-07,2456.606379032135
