epoch,train_loss,val_loss,lr,elapsed_sec
1,0.19115935780867954,0.022829933583979372,0.0007077023572715657,23.672552824020386
2,0.14959213141677144,0.03446136550248965,0.0007077023572715657,47.28615999221802
3,0.13525670239129553,0.021395476573430324,0.00035385117863578284,70.76249313354492
4,0.12483930046925408,0.022685930274588907,0.00017692558931789142,94.5025405883789
5,0.12319035510309927,0.020430304634425304,8.846279465894571e-05,118.60941863059998
6,0.12217660474116554,0.020268822594991198,4.4231397329472855e-05,142.44056057929993
7,0.11979460857315537,0.020059683113156455,2.2115698664736427e-05,166.1236355304718
8,0.11926337610318259,0.02011953659720071,1.1057849332368214e-05,189.72777247428894
9,0.11922356795207206,0.02176445089483067,5.528924666184107e-06,212.9322793483734
10,0.11896181113939867,0.020169783756136893,2.7644623330920534e-06,236.72426581382751
